,Timestamp,CIT-500A/BLOCK2/OUT.CV µS/cm,CIT-500B/BLOCK2/OUT.CV µS/cm,DST_FIT-500A/STATUS_INDEX.CV No EngUnits,FIC-500AB/PERCENT_A_CALC1/OUT1.CV No EngUnits,FIC-500AB/PID1/OUT.CV %,FIC-500AB/PID1/PV.CV %-vol,FIC-500AB/PID1/SP.CV %-vol,FIC-500C/PID1/OUT.CV %,FIC-500C/PID1/PV.CV gal/min,FIC-500C/PID1/SP.CV gal/min,FIT-500A/BLOCK1/OUT.CV gal/min,FIT-500A/HART_FV/OUT.CV no units,FIT-500A/HART_FV/STATUS_INDEX.CV No EngUnits,FIT-500A/HART_FV/STDEV.CV No EngUnits,FIT-500A/HART_PV/OUT.CV no units,FIT-500A/HART_SV/OUT.CV no units,FIT-500A/HART_TV/OUT.CV no units,FIT-500B/BLOCK1/OUT.CV gal/min,PIT-500C/BLOCK1/OUT.CV psig,PT-500A/BLOCK1/OUT.CV psig,PT-500B/BLOCK1/OUT.CV psig,PT-500D/BLOCK1/OUT.CV psig,TIT-500A/AI1/OUT.CV °C,TIT-500B/AI1/OUT.CV °C
0,2025-09-24 13:00:00-04:00,6634.52880859375,6633.4365234375,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503642356023,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
1,2025-09-24 13:00:01-04:00,6634.3544921875,6633.4365234375,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503665639087,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
2,2025-09-24 13:00:02-04:00,6634.5908203125,6633.4365234375,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503690086305,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
3,2025-09-24 13:00:03-04:00,6634.5908203125,6633.4365234375,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503714533522,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
4,2025-09-24 13:00:04-04:00,6634.3271484375,6633.27001953125,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.001250373898074,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
5,2025-09-24 13:00:05-04:00,6634.3271484375,6633.27001953125,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503763427957,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
6,2025-09-24 13:00:06-04:00,6633.916015625,6632.99609375,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503786711022,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
7,2025-09-24 13:00:07-04:00,6634.2001953125,6633.1064453125,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503811158239,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
8,2025-09-24 13:00:08-04:00,6634.2001953125,6633.1064453125,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503835605457,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
9,2025-09-24 13:00:09-04:00,6634.45849609375,6633.1064453125,0,0.0,63.49414825439453,0.0,0.0,100.0,-0.0008009496377781,0.0,-0.0012503860052675,0.0,1041.0,0.0,0.0,61722.4375,0.0,-0.0004958437057211,0.6724076271057129,1.473573923110962,-0.4276689291000366,0.4694051146507263,22.070114135742188,21.985183715820312
